time,demand,KW1,KW2,KW3,KW4,KW5,KW6,KW7,KW8,KW9,KW10,KW11,KW12,KW13,KW14,KW15,KW16,KW17,KW18,KW19,KW20,KW21,KW22,KW23,KW24,KW25,KW26,KW27,KW28,KW29,KW30,KW31,KW32,KW33,KW34,KW35,KW36,KW37,KW38,KW39,KW40,KW41,KW42,KW43,KW44,KW45,KW46,KW47,KW48,KW49,KW50,KW51,KW52,KW53,KW54,KW55,KW56,KW57,KW58,KW59,KW60,KW61,KW62,KW63,KW64,KW65,KW66,KW67,KW68,KW69,KW70,KW71,KW72,KW73,KW74,KW75,KW76,KW77,KW78,KW79,KW80,KW81,KW82,KW83,KW84,KW85,KW86,KW87,KW88,KW89,KW90
2011/1/1,111.3711111,8374,4537,3272,1072,3813,1765,3233,880,116724,5277,3891,4877,2979,3240,3463,63111,3063,2727,1974,2152,1603,35388,21273,6168,2346,1149,981,28554,4795,3185,2804,1955,53632,1505,23275,913,25322,2478,1872,2076,26228,1548,994,16524,1380,16459,6729,5012,4219,3416,3794,2710,52863,1588,2232,37142,1770,1197,15138,1301,734,13429,2698,1699,1885,1429,1225,14819,1552,13452,1569,766,11959,1437,19250,2094,1836,593,1423,1868,1703,34346,1213,21190,10188,13277,8014,15831,11127,10292
2011/1/11,106.3622222,8673,5339,3425,1287,3891,1718,3388,922,151415,5345,4066,4685,2891,3281,3581,70902,3124,2586,1789,1896,1753,37707,23203,4906,2425,1176,992,32773,4772,3351,2634,2075,56262,1477,25436,1063,24398,2491,1708,1834,24552,1442,1131,16319,1207,18381,7275,5096,3866,3067,3050,2547,59083,1470,2301,40120,1714,1066,16138,1206,781,13927,2478,1733,1828,1366,1406,14680,1525,13641,1503,639,11899,1501,19959,2156,1602,733,1403,1933,1696,39567,1055,22706,10791,14009,8471,36053,11705,10917
2011/1/21,103.0066667,9649,5761,3584,1658,5531,2194,3620,1044,141269,6477,5470,5058,3062,3590,3782,63344,3679,3100,2478,2204,1983,32956,22480,7529,2760,1281,1127,29794,5710,4613,3058,2299,50202,1790,22810,1017,24398,2984,1996,2045,23539,1855,1150,19108,1187,16649,8277,7300,4966,3618,2944,2643,52957,1763,2468,34526,1884,1313,13924,1550,904,14237,3027,1886,2367,1579,1327,14707,1835,13575,1575,871,12522,1922,17471,2189,1917,382,1427,2071,1745,34538,1318,21186,10706,13608,8484,22206,11934,10805
2011/2/1,101.3044444,10856,6606,4631,2487,6958,2408,3317,1069,115362,8661,7560,6700,3852,3065,3515,59376,5791,4638,3615,3147,1810,23691,14233,13209,2963,1682,1082,23954,10692,6692,4257,1891,48115,2036,18922,1245,18764,7857,2410,2056,21936,3591,1418,15794,1501,14446,16930,8391,7377,5057,2898,2910,47260,2451,1959,29494,2489,2136,10861,2386,1586,12968,7646,3271,3462,2162,1606,14815,2314,11732,3015,1400,12081,3657,15122,2403,2282,919,1617,1669,1518,25817,1621,17853,8307,12115,6428,15783,9617,7901
2011/2/11,101.2555556,10066,5328,4017,1731,4286,1777,3687,1088,163577,6913,5209,5089,3443,3941,3782,77744,4452,3491,2180,2351,2044,33229,25491,8927,2468,1580,1072,32792,6931,4396,3201,2319,65811,1815,26206,1311,26357,7816,2136,1914,28837,2219,1235,17794,1296,17285,15228,6367,5665,3900,3089,2770,63916,1778,2601,41453,2030,1571,16408,1659,994,14213,4828,1810,2177,1492,1454,16406,1714,14199,1903,1086,12694,1417,22645,2540,2217,659,1778,2159,1847,38671,1571,23185,10918,13613,8771,17233,11980,10579
2011/2/21,102.86,8742,4306,3615,1646,4426,1660,3133,745,132032,6556,4307,5680,3133,3048,3169,66584,3820,3569,1786,2130,1549,35800,22947,7204,2368,1368,862,27976,6479,4350,3139,1886,55609,1681,22557,1143,22017,8030,1950,1729,27077,1774,1209,15218,1067,14805,14820,6569,5591,3908,2708,2443,55351,1722,1879,36430,1863,1439,17009,1238,948,11923,4781,1486,1792,1419,1150,14200,1621,13015,1871,976,10816,1467,19765,2212,2016,573,1436,1654,1433,32870,1417,19788,8405,12615,7102,13886,9915,8673
2011/3/1,109.5982716,11549,5757,4961,1825,6165,2383,3943,1101,147933,9746,6313,9331,4745,4150,4393,83396,5703,4975,2595,3085,1969,44614,30371,10026,3272,1834,1090,36491,9327,6255,4630,2358,71821,2222,27980,1495,27464,11749,2896,2485,38049,2442,1701,19925,1563,22583,22538,9550,8473,5736,3943,3754,73184,2304,2510,46004,2457,2098,18583,1764,1402,15173,8016,1969,2732,1899,1710,19020,2127,16976,2860,1288,17295,1998,26979,3177,2794,919,2034,2205,2005,40913,1863,25542,11168,16919,9106,17515,13335,10967
2011/3/11,111.8990123,11629,5758,5257,2046,6135,2358,4077,969,154035,10246,7090,9963,5470,4267,4464,99227,5848,5151,2865,3325,1848,45664,29133,11599,3409,1873,1117,35868,9633,6991,5192,2374,70530,2166,27569,1523,38489,11779,2976,2638,37994,2561,1649,19459,1685,20876,24614,9950,8775,6001,4247,4244,71991,2314,2409,44443,2466,2225,18084,1864,1403,14696,7998,1896,2729,1919,1662,19587,2149,15128,2666,1373,16510,1880,26959,3153,2983,921,2195,2074,2005,39421,1972,24722,11040,16496,8854,17186,12461,10959
2011/3/21,113.242716,14024,7873,6778,2647,9920,3404,4787,1343,166170,13091,10582,12293,7636,4843,5755,100078,9317,7830,4541,4655,2314,54800,30488,20034,4851,2410,1304,39858,12650,10217,7393,2988,83586,2845,30123,2055,31852,18832,4334,3175,46946,3816,2162,22398,2340,21763,37276,12684,11534,8684,5111,5322,89532,2970,2809,49232,3179,2493,20008,2239,1718,19290,11491,3044,3366,2326,1618,22942,2666,16238,3788,1812,17351,2715,28231,4411,4146,1098,2769,2449,2287,45056,2610,28469,12231,18531,9804,19985,13835,11941
2011/4/1,112.1898765,14258,7578,7487,2498,8071,2872,4306,1425,147908,12719,9624,12006,8426,4664,5743,91457,9342,8270,4775,4892,3205,48270,25242,27162,4616,2517,2140,37083,13166,9741,7974,4024,79084,2635,27368,1873,27520,17856,4236,3386,42437,6668,1930,21340,2146,19291,37972,11878,10450,8718,5360,5615,81477,2962,2536,44762,3246,2681,24202,2347,1990,16017,10380,2984,3366,2159,1721,21421,2461,16408,6139,1741,17344,2409,26685,4464,4579,1281,2986,2259,2186,41220,2554,26870,11452,17940,12520,18431,13112,11499
2011/4/11,112.6991358,13382,8247,6630,2211,7780,2742,4293,1168,163708,12075,9597,11466,6843,4446,5452,92447,8094,6777,4458,4173,2868,50005,28250,26925,4503,2359,2015,41320,11858,9728,6615,3816,79014,2696,30087,1963,28531,15583,3486,2868,44343,5479,1737,21533,2001,20198,39049,11344,10214,7867,5179,5191,85101,2844,2569,46584,2966,2656,25955,2189,1886,16693,9998,2747,3106,1959,1614,21202,2464,17048,7459,2148,18217,2458,27427,4185,4043,1210,2639,2247,2148,44114,2292,27873,11477,19117,13205,19104,13124,11505
2011/4/21,113.3309877,16424,9276,8923,2728,10073,3575,4798,1549,174443,13913,11103,14373,9243,4709,6158,93682,9755,8985,6286,5556,3185,48503,28118,38259,6036,2839,2226,43748,15111,11422,9400,4134,80283,3286,29603,2275,27951,17450,4042,3222,43307,7104,1907,21652,2399,20128,48951,13006,11731,10174,5235,5656,90135,3217,2609,46176,3929,3432,27646,2898,2446,17204,12930,3988,4621,2666,1721,23560,3514,17546,9805,2959,19187,3718,27035,5279,5159,1314,3379,2420,2242,45350,2790,29087,11752,17341,12389,20862,13325,11672
2011/5/1,115.1175309,12886,6603,6981,1892,5739,2325,4123,1129,179832,11243,7190,10377,6040,4401,4905,85498,6684,5936,3592,3725,2939,43722,27638,22406,3641,2183,1983,40195,10653,8005,6246,3482,75453,2401,29134,1694,27888,10425,2657,2655,35505,4737,1562,21375,1723,19072,29471,10416,9922,7070,4342,4674,78431,2451,2455,43343,2835,2512,25459,2036,1712,16333,8766,2397,2922,1981,1634,21013,2343,16894,6438,1956,16457,2309,25733,3457,3254,803,2422,2341,2067,43864,2067,27939,12978,17629,12524,19842,13845,11495
2011/5/11,115.2204938,12767,6746,6395,2156,5723,2501,4489,1260,182726,10490,7135,10272,5276,4514,5139,95911,5955,5255,3414,3420,3018,49496,30460,17507,3745,2070,1983,39374,10205,7574,5507,3836,78445,2371,30689,1656,30168,9289,2569,2479,37188,2952,1699,22512,1811,21323,27272,10432,8761,6566,4613,4931,83578,2453,2621,48946,2747,2371,26434,1969,1560,16998,8559,2238,2899,1938,1582,21104,2204,16620,7025,2154,18415,2557,26597,3565,3089,932,2205,2450,2189,46259,2070,28545,11816,18560,13261,20194,14458,12679
2011/5/21,114.6719753,13454,7398,6906,2402,7656,2928,4763,1499,173942,11642,8405,10779,5904,4775,5436,100824,6321,5738,3711,3522,3130,54983,40876,18832,4282,2290,2114,47946,11046,8724,5877,4026,82284,2673,33291,1926,32976,9715,2724,2764,44161,2607,1705,23328,1744,22234,29776,11385,9440,6728,4554,4962,87415,2797,2719,49444,3145,2608,28728,2158,1513,17881,6441,2715,3175,2252,1794,23013,2431,16876,8562,2478,19490,2403,29461,3942,3591,1274,2482,2563,2389,49128,2355,30739,12538,20725,13730,21681,15827,12389
2011/6/1,109.7761728,13098,7204,6582,2402,7326,2803,4306,1342,162176,10882,7824,9982,6124,4558,5048,89256,6257,6053,3571,3560,2942,49378,31768,19304,4299,2268,2113,43869,10674,8297,5942,3789,78478,2434,30371,1754,32108,9296,2704,2563,34156,2712,1735,21765,1753,22549,26282,10225,8709,6464,4530,4455,87929,2587,2658,46888,3299,2588,28844,2179,1580,17043,4431,2846,3239,2343,1807,22690,2279,16112,7857,2237,19435,2450,27780,3740,3554,943,2358,2372,2156,41304,2137,28851,11957,17448,12781,20619,14514,11916
2011/6/11,110.6965432,12103,7131,5705,1787,5115,2164,4305,1251,175046,9841,6575,9519,5160,4264,4768,96150,5114,4555,2838,3018,2741,50978,32978,15588,3764,1995,1996,47193,9899,6981,5340,3356,79378,2185,31757,1766,34762,7634,2140,2278,33570,2233,1476,22330,1697,23199,13210,10031,8953,6416,4200,4237,88084,2234,2414,47173,2620,2239,30346,1793,1213,18633,3478,2145,2654,1800,1647,22472,2108,18276,6893,1931,17355,2043,29778,3395,3140,1020,2308,2420,2075,50286,1991,30430,12818,16491,12602,23615,15390,12502
2011/6/21,113.737284,13097,8449,6716,2083,6021,2533,4593,1357,200310,10447,7340,9602,5267,4445,4865,106265,6014,5271,2671,3151,2784,54570,37072,23314,4149,2110,2028,51511,10369,7954,5528,3492,85303,2359,33770,1841,34591,4228,2233,2265,35798,2279,1563,23827,1625,24125,12235,10674,9649,7007,4118,4132,91766,2250,2505,48705,2756,2435,29884,1868,1300,18556,3587,2430,2708,1877,1664,22104,2102,17933,8686,2529,20110,2066,29255,3443,3194,827,2230,2369,2150,51015,1981,30395,12289,19650,13095,21560,15870,12150
2011/7/1,123.5260494,15291,9692,8722,2230,6329,2511,5436,1914,199492,11666,7145,10514,6163,4786,6028,96626,7061,6211,2962,3412,2967,55947,30917,38138,4532,2357,2302,47887,11148,8852,6252,3931,83670,2476,30774,1862,31384,3946,2333,2269,36698,2504,1605,22998,1637,22749,13130,11243,10398,8076,4600,4781,92591,2273,2687,48884,2710,2377,27880,1909,1417,18777,3998,2411,2883,1884,1797,22495,2347,17042,9714,2886,33871,2188,28051,3613,3387,982,2316,2539,2206,47932,2211,30260,12439,18779,13255,21939,16333,11904
2011/7/11,127.3367901,17056,10512,9315,2298,7427,2861,5770,1978,196722,11939,7982,11160,6475,4865,5934,129138,7663,6696,3481,4004,3143,58621,32941,45318,4733,2457,2239,53978,11974,10040,7004,4290,89150,2668,33304,2039,32341,4592,2632,2390,36269,2769,1627,24924,1900,23573,14572,12444,10932,9187,5138,5408,107780,2497,2848,55520,2855,2451,28127,2182,1451,18733,4703,2593,3268,2021,1757,24688,2442,17946,10666,3694,29686,2387,29276,4271,3678,1195,2560,2518,2255,54505,2417,31771,12634,20856,13893,22055,16520,12288
2011/7/21,129.7971605,16979,11281,9610,2420,7251,3265,6014,2154,205149,12962,8619,12029,6766,5100,5828,116200,7712,6467,3565,3983,3377,57567,31711,51288,4995,2431,2622,57453,13221,10383,7342,4595,94701,2857,34263,2206,34627,4692,2619,2549,36351,2849,1812,25130,1975,24425,15336,12944,11668,9240,5473,5673,107528,2609,3000,57526,2990,2536,27942,2096,1772,19464,4888,2685,3528,2120,1880,25999,2675,18761,12118,3601,27133,2396,31138,4445,4013,1227,2738,2768,2432,55998,2572,33329,13164,21396,14766,22516,16847,12898
2011/8/1,130.4893827,14870,9969,8128,2190,6938,3072,5390,2077,180294,12273,8829,11445,6559,4870,5334,108211,7335,6693,3403,3664,3254,56743,29954,55711,4870,2316,2412,53577,12250,9554,6496,4248,88049,2712,32788,2194,34670,4710,2725,2517,34546,2795,1712,23904,1963,22439,13925,11931,10228,8259,5069,4677,100416,2429,2798,56246,2961,2353,29328,2026,1499,19521,4489,2424,3395,2162,1841,24901,2559,19728,10637,3222,29148,2228,32517,4510,4033,1030,2676,2661,2333,54508,2470,32505,13174,21513,13802,22060,16050,12222
2011/8/11,130.5623457,14412,9876,8174,2167,6870,3247,5498,2115,177073,12193,8768,11153,6804,5060,5622,105755,7357,6899,3369,3883,3208,41119,29751,55368,4611,2262,2582,53360,12462,9569,6600,4306,83938,2655,31029,2139,32725,4684,2632,2655,34489,2579,1804,23602,1818,22917,13852,11510,10171,8100,5228,5033,92407,2508,2928,50910,2932,2551,25946,2307,2060,18469,4918,2632,3580,2311,1818,23263,2507,18534,10640,3341,22919,2317,25696,4132,4031,1208,2650,2562,2252,59367,2484,33261,12558,23062,13680,21531,16120,12323
2011/8/21,129.5982716,13865,8920,7433,2328,7389,3565,5217,2036,191446,12354,8235,11250,6632,5124,5787,118410,6607,6079,3688,3768,3350,46038,33283,31051,4085,2188,2467,52691,11975,8708,6127,4206,89827,2560,34547,2036,35478,4530,2606,2557,38515,2789,1868,26404,1765,25022,13798,11966,9394,7775,4857,4801,94206,2499,2943,55753,2999,2494,28370,2400,1774,19678,4595,2503,3385,2391,1909,25286,2488,20174,10178,2853,24150,2273,36353,3785,3749,1199,2736,2807,2413,92373,2263,50391,13957,35074,16805,25773,19887,14456
2011/9/1,125.0791358,13797,9393,7058,2546,9155,4061,5011,1844,165255,12362,9292,11180,6957,4691,5153,105678,7350,6246,4256,3952,3019,38647,32645,18090,4448,2254,2159,48550,12419,9688,6870,3967,84859,2672,30210,1902,32198,5160,2767,2450,34984,3082,1948,24099,1873,23113,14053,11939,9424,8000,4644,4293,89761,2628,2732,49055,3135,2660,24288,2325,1783,17817,5845,3414,3685,2443,1901,24396,2570,17658,9366,2904,20634,2587,29351,4271,3594,1252,2519,2482,2191,59728,2338,34585,12510,23847,15246,21573,16421,12141
2011/9/11,123.9295062,14959,10290,7525,2475,9126,3797,5437,1803,181655,13059,9837,11780,7148,4647,5383,103081,7426,5983,4540,3953,2958,40368,29418,16304,4390,2331,2083,46568,12737,9971,6833,3869,85802,2726,29882,2021,32409,5566,2817,2387,35275,3261,1787,24507,1948,24210,16103,12872,10013,8527,4926,4567,91953,2777,2616,48239,3162,2383,25905,2329,1806,18394,9478,2910,2943,2255,1829,24242,2662,18480,9018,2799,20236,2691,26401,4349,3931,1305,2538,2413,2113,57373,2243,33525,12762,27721,13593,23422,15954,12208
2011/9/21,123.631358,20903,13899,10471,3224,11806,4931,6181,2591,202560,18953,16480,14344,10971,5633,7196,117201,11365,9176,7821,5900,3357,56498,31610,32321,7149,3287,2244,52381,25723,13315,10325,4506,97035,4045,32705,2594,34653,12650,3863,2999,43599,5247,2463,27834,2617,26699,41089,18744,12285,11482,6089,6283,109382,3472,2718,52653,4178,3502,28051,3378,2728,19908,12082,5641,4662,2663,2068,28903,4020,19966,11481,3931,23992,4191,30044,6280,6132,1783,3506,2534,2316,60482,3297,37314,13258,22730,13574,22788,16318,12381
2011/10/1,127.8948148,18983,11448,10898,2350,8749,3894,6072,2669,178448,28885,11799,12699,10843,5675,7661,109720,13868,7010,5669,6179,4057,50764,25923,28464,5760,2882,2739,43783,33059,10132,9751,5293,84064,3364,30280,2251,29145,14759,3908,3548,35573,8092,2314,24830,2280,22407,36551,22678,11037,10759,6541,7234,89714,3481,2947,46125,4257,3387,26505,4677,2497,18408,13715,4496,4257,2941,2281,28009,3830,18151,8120,2658,19211,3384,28091,5254,5995,1719,3868,2586,2363,52138,2835,41015,12945,21076,13669,20475,14725,12724
2011/10/11,126.517037,12550,8900,6360,1191,5755,3049,5195,2598,187740,12149,8172,9470,6097,4708,5613,106637,6437,4822,3491,3547,3153,50685,32722,14338,3514,1926,2143,47370,16073,6822,5109,4134,79758,2261,32443,1666,32611,8774,2384,2606,35391,3083,1592,25341,1740,25537,25328,9897,7115,6456,4879,4907,86493,2240,2680,50066,2596,2220,26338,1987,1319,18732,7610,2302,2427,1905,1713,23581,2173,18485,4935,1641,18454,1985,31209,3835,3439,1134,2620,2461,2392,58329,1927,33908,12842,23409,13923,21577,16182,13882
2011/10/21,123.2081481,13457,8736,6833,1281,5610,3254,5516,2321,197879,11888,7904,10557,6629,5311,6223,110071,5994,4844,3325,3656,3216,50838,32877,15630,3735,2057,2364,48934,15399,6135,5442,4213,84448,2301,34983,1630,34418,8030,2550,2709,36420,2731,1671,25974,1808,28880,21585,9643,6998,6726,5584,4840,93394,2426,2896,52072,2674,2157,27574,2083,1487,85915,6959,3197,2423,1865,1858,25591,2340,19739,4205,1556,18572,2228,31845,3891,3474,1225,2812,2713,2555,63043,2050,34327,13838,23491,15374,27058,18306,13923
2011/11/1,113.1390123,12134,6954,5910,1169,5000,2758,5339,1980,178677,10539,6971,9303,5615,5160,5265,94183,5040,4079,3067,3190,2935,46681,31686,12085,3327,1771,2105,45596,11116,6149,4965,3678,78506,2219,32253,1598,32556,6413,2290,2486,34991,2422,1567,24449,1691,24484,20767,8281,6109,6085,5220,4343,85037,2134,2934,49948,2410,2043,26229,1834,1402,28932,5451,2670,2269,1735,1717,23351,2007,18283,3887,1348,18600,1971,30853,3413,3104,866,2448,2425,2279,56328,1876,32918,12849,21762,14379,23447,16952,12179
2011/11/11,109.5897531,11959,6549,6093,1122,5044,2649,5290,1862,175725,9705,6472,8801,5685,4900,5100,93903,4940,3872,2803,3243,2918,46499,29396,11781,3272,1777,2094,43139,9843,6030,4901,3760,75224,1947,31261,1380,30631,4350,2307,2437,46982,2285,1661,23745,1599,23613,14776,8226,6230,6049,5332,4146,79779,2146,2835,48993,2482,2171,25926,1708,1303,20715,4100,2320,2539,1833,1761,22649,2004,18125,2642,1178,18049,1865,30233,3552,3360,1220,2373,2504,2244,61699,1819,31030,12742,20844,13624,21273,15173,12522
2011/11/21,107.7312346,11810,6580,6278,1150,5179,2899,5120,1854,188489,9371,6369,8281,5448,4761,4885,98896,4930,3910,2665,3073,2785,50075,30697,10758,3072,1611,2120,45233,8971,5425,4864,3665,77079,2188,32638,1484,33077,3327,2222,2416,37788,2255,1587,24065,1639,24145,11456,8732,6570,6106,6388,3895,86145,2186,2768,51813,2330,2063,26759,1610,1566,19893,3181,2402,2602,1962,1738,22601,2152,19583,2091,1038,17775,1996,31024,3157,3028,830,2257,2389,2093,60300,1720,32363,12722,22276,14388,21466,16089,11981
2011/12/1,107.6360494,11576,5967,5655,906,4306,2495,5122,1695,181382,8359,5660,7415,4828,4601,4930,97409,4388,3571,1992,2775,2847,47690,28413,8934,2851,1727,1928,42249,8038,4834,4258,3786,75379,2063,31038,1436,30775,2977,1979,2327,33940,2058,1505,22966,1482,24429,9336,7281,5914,5758,7115,4416,81205,2212,2712,49771,2064,1813,26117,1575,1216,18646,2997,2092,2458,1960,1819,22195,1822,18857,1911,1147,17376,1876,29748,2867,2551,664,1914,2328,1982,74171,1544,32261,13260,22599,14111,21152,15736,12783
2011/12/11,109.1045679,10952,6564,5073,892,4523,2208,4911,1526,181416,7881,5872,6564,4752,4337,4596,109408,3837,3148,1907,2551,2632,46187,27401,9153,2756,1486,1933,41352,7942,4620,3716,3504,71982,1841,31827,1303,29828,2928,1913,2229,32765,2128,1361,22362,1170,23037,8573,6474,5360,4951,6469,3324,76536,1862,2686,47812,2032,1589,24655,1533,1025,18004,2833,1917,2275,1481,1720,21803,1867,18334,1873,862,16173,1683,27873,2826,2530,943,1873,2279,1909,54165,1534,38926,12855,21068,14315,20850,15086,12303
2011/12/21,112.2093827,12425,8521,6000,1279,6661,2910,5621,1921,194326,10256,8256,7333,5725,5014,5182,118285,5043,3819,2778,3027,3166,69365,30825,11499,3434,1906,2311,47946,9581,6213,4618,4049,83000,2219,34534,1622,33048,3425,2135,2368,38846,2485,1648,25012,1569,25957,10129,8649,5937,5478,5497,3581,86898,2215,2929,55186,2401,1901,27188,1859,1345,19536,3593,2613,2793,2074,1920,24104,2148,19891,2187,1093,17856,2094,29131,3256,2849,862,2240,2702,2016,58709,1777,43246,13981,24566,15968,22645,16407,13201
2012/1/1,123.587037,11323,6593,5347,1090,5097,2435,4738,1787,182204,8069,6772,6351,4879,4148,4465,176664,3975,2868,2443,2496,2670,52791,25681,7940,2831,1421,1968,41222,7520,4891,3878,3366,74528,1960,30436,1457,30290,2968,1898,2118,32789,2082,1364,22515,1486,26354,8596,6866,4724,4258,3715,2998,79683,1727,2534,48315,2042,1399,24841,1610,1116,17446,2990,2341,2098,1730,1730,21536,1809,18710,1868,1229,16038,1847,26589,2773,2313,869,1929,2195,1821,55443,1574,39221,13274,21269,14140,22923,15781,12345
2012/1/11,124.987037,11414,8654,4945,913,6170,2725,4563,1870,174219,8619,8043,6477,4465,4140,4198,157181,4174,3341,2880,2472,2854,43100,24425,9903,3209,1723,2072,39165,8168,6163,3752,3300,65747,2054,28882,1369,29492,3231,1894,2168,30676,1961,1390,21328,1536,23429,9778,9033,5208,4169,3510,2843,70333,1729,2520,41968,2079,1586,22649,1574,1140,16691,3260,2732,2223,1693,1646,20933,1889,16949,2010,1324,15898,2182,23091,2646,2259,873,1681,2217,1702,50956,1548,32761,13524,20853,14103,22517,15210,12229
2012/1/21,123.0459259,15549,11620,7675,1398,8470,3383,4990,2461,179050,12510,11105,9629,6459,4447,4974,113459,7215,5853,4564,4215,3333,35058,20488,14230,4474,2558,2522,35500,12566,9384,6349,3937,69808,2653,25962,1771,26106,5242,2937,2903,30809,3155,2019,21648,1842,20205,13932,11675,8453,6866,4510,4022,70240,2769,2601,39053,3158,2515,22031,2453,2085,17115,5666,4476,3976,2568,2178,23248,2767,17239,2642,2098,17513,3723,22016,3332,2946,1162,2201,2143,1949,43390,2076,31604,12637,18220,13432,20216,14699,11123
2012/2/1,109.0106173,13033,10049,6169,1311,5699,2698,4892,2137,228148,10316,8469,7839,5625,4748,4737,125540,4895,3887,2901,3078,3058,49246,35536,11618,3280,1909,2147,49478,10010,6535,4849,3891,102198,2115,39344,1674,33692,4273,2403,2287,40650,2379,1564,36675,1637,25218,12125,10333,6414,5934,4196,3752,96167,1996,2877,55577,2323,1893,29396,1762,1209,20091,3504,2463,2467,1830,1903,25645,1957,21124,2363,1790,19348,2044,32272,3361,2821,992,2275,2554,2064,61053,1829,48384,13772,22235,15192,22900,17814,13066
2012/2/11,106.9520988,13208,10408,6918,1313,5749,2716,5309,2218,248350,10530,8229,8418,6112,4959,5024,121526,5202,4025,2844,3324,3197,59328,35481,11337,3303,2066,2222,48627,10132,6690,5160,4141,104874,2130,35045,1602,34121,4548,2624,2513,42081,2508,1647,29074,1624,24922,12447,10027,6409,6049,4727,4052,98380,2208,2829,56363,2322,2083,28532,1783,1319,20722,3459,2383,2588,1991,1796,25511,2013,21335,2401,1811,21138,1844,32996,3392,2989,998,2479,2810,2266,62811,1912,53959,13560,23409,15785,22224,17797,12796
2012/2/21,108.117284,11639,8922,6047,1238,5154,2594,4905,1922,234093,10525,8307,8153,5746,4332,5021,135272,4912,4041,2870,3040,2611,54799,33624,9955,3147,1887,1849,50418,10119,6932,4771,3571,97471,2128,31911,1578,32205,5329,2747,2466,44021,2333,1548,24619,1603,23848,12030,9736,6273,5709,4409,3992,97685,1951,2503,54034,2220,1901,26325,1769,1311,19720,3364,2306,2528,1726,1643,24671,1816,19925,2258,1615,19809,1704,30946,3398,2829,1070,2208,2362,2059,86731,1776,37209,12310,21900,14103,21005,17445,12192
2012/3/1,118.2355556,13774,10301,7575,1500,6367,3321,5752,2278,253182,13203,10027,10767,7731,5585,6032,132232,6625,5360,3542,3975,3160,61974,35655,11923,3987,2209,2284,53288,12261,8606,6512,4535,109583,2475,37117,1858,36061,7409,3603,2926,51473,3168,2048,29605,1956,26485,14187,11191,7612,7674,5542,5025,112615,2345,2883,60626,2626,2102,29007,1997,1498,22565,4357,3034,3090,2358,2113,28922,2213,22926,2697,1764,21885,2102,33851,3950,3401,1058,2577,2841,2399,74343,2129,39065,14394,25204,16252,23676,19860,13413
2012/3/11,121.5511111,14866,10700,8539,2057,7786,3324,6313,1987,246537,13902,10826,11019,9012,5383,6434,135985,8261,6764,4110,4628,3230,62617,36284,15053,4753,2530,2414,51650,13246,9891,8086,4760,110209,2844,35485,2112,38787,9387,4423,3301,57896,3474,2108,27534,2285,26504,19505,12978,8643,9445,6053,5361,118023,2649,2938,64851,3177,2364,29091,2171,1750,22450,5665,4102,3412,2754,2197,31015,2538,22452,3475,1959,23414,2332,32082,4574,3960,1227,2929,2847,2343,70202,2349,39769,14248,26470,15639,23824,19642,13277
2012/3/21,123.7933333,20600,13046,11447,2945,11835,4802,6698,2681,285560,20137,16658,14873,13465,6369,7817,160642,12712,10535,7700,7310,4113,74209,49236,29136,7168,3202,2578,66382,18710,14599,12351,5660,138392,3791,39946,2641,40201,21110,6554,4565,79792,5633,2762,34239,3133,32005,25875,22625,12809,13746,7321,7119,144501,3490,3120,77518,4377,3326,34852,2898,2433,26301,8860,6306,5502,3550,2592,37883,3257,24631,7539,3150,28413,3317,38927,7004,6364,1855,4238,3160,2635,77728,3345,45570,15520,30867,16974,27078,21196,14483
2012/4/1,123.7558025,20079,12241,11812,2418,9809,3788,6461,2603,258928,17685,14390,14681,12870,5903,7240,144344,11725,10000,6966,7398,3891,65749,37109,31533,6596,3193,2797,59976,17515,13426,11999,5717,128912,3389,35348,2392,33440,19531,6056,4463,65139,5760,2537,30208,3064,27820,20977,18308,12497,13190,6948,7313,128442,3476,2931,64380,4079,3395,31750,2730,2321,22734,7894,5399,5233,3233,2471,33553,3239,22502,8624,2953,24787,3031,33296,6476,6743,1812,4440,2723,2516,69228,3142,38953,14950,26095,15574,23609,19825,13541
2012/4/11,124.7561728,17548,11756,9825,2058,9057,3446,6006,2639,250066,16474,13019,13206,11077,5563,7130,142754,9840,8470,5981,5508,3477,75326,19775,28576,5455,2575,2465,60749,15246,11444,10064,5045,123462,3199,36252,2250,33705,16186,4666,3774,64771,4128,2286,30536,2732,28865,18906,17459,11804,11978,6247,6210,129030,2970,2937,66193,3362,2873,32134,2447,2068,23220,9083,4047,4016,2665,2096,31645,2850,23033,8876,3001,26823,2730,35411,6455,5813,1896,3797,2817,2550,71196,2791,42356,14568,25008,16363,23775,20442,13867
2012/4/21,125.5880247,23028,13617,12908,2712,10993,4305,6833,2825,244687,19183,16153,16089,13371,6018,7540,140826,11918,10217,7597,7357,3797,72695,13715,38764,7260,3343,2712,62944,18066,14001,12868,5387,125427,4084,34557,2582,34049,17210,5254,3823,58578,8192,2595,30287,2813,27363,21655,19778,13388,13971,6847,7124,133577,4106,3216,65812,4676,4357,32355,3351,2786,23783,13249,5238,5073,3235,2359,33273,4120,22656,10641,4063,28599,4337,35996,7746,7701,2026,4648,3085,2771,70649,3382,42673,14792,24773,15509,24556,20433,13427
